,name,location_link,site,us_state,type,subtypes,Area,rating
27,Asia Garden,"https://www.google.com/maps/place/Asia+Garden/@34.2357368,-86.16485589999999,14z/data=!4m8!1m2!2m1!1sAsia+Garden!3m4!1s0x888a1b43191de36d:0xf09d67cbd4d9a3f!8m2!3d34.2357368!4d-86.16485589999999",https://usmapz.me/asia-garden-733247-us,Alabama,Chinese restaurant,Chinese restaurant,1,4.3
28,Jade Garden Chinese Buffet Restaurant,"https://www.google.com/maps/place/Jade+Garden+Chinese+Buffet+Restaurant/@30.376447799999998,-87.6840118,14z/data=!4m8!1m2!2m1!1sJade+Garden+Chinese+Buffet+Restaurant!3m4!1s0x889a0e337aa541a3:0x721305ee21d9566f!8m2!3d30.376447799999998!4d-87.6840118",https://www.timetoeatthebeach.com/order/restaurant/jade-garden-chinese-restuarant-menu/93,Alabama,Chinese restaurant,"Chinese restaurant, Buffet restaurant",1,3.9
29,Deli China Inn,"https://www.google.com/maps/place/Deli+China+Inn/@32.9435612,-87.1561479,14z/data=!4m8!1m2!2m1!1sDeli+China+Inn!3m4!1s0x888f36bc5fd1790b:0x6e7d6f92ec085e1c!8m2!3d32.9435612!4d-87.1561479",https://m.facebook.com/Deli-China-Inn-377072509032169/,Alabama,Chinese restaurant,Chinese restaurant,1,4.2
30,Super Canton,"https://www.google.com/maps/place/Super+Canton/@31.1914911,-85.4025498,14z/data=!4m8!1m2!2m1!1sSuper+Canton!3m4!1s0x889292d0a4f12ae9:0xbdffeebbb0435951!8m2!3d31.1914911!4d-85.4025498",http://supercanton.com/,Alabama,Chinese restaurant,"Chinese restaurant, Fast food restaurant",2,4.0
31,Hong Kong King Buffet,"https://www.google.com/maps/place/Hong+Kong+King+Buffet/@33.1528639,-85.36147299999999,14z/data=!4m8!1m2!2m1!1sHong+Kong+King+Buffet!3m4!1s0x888b65e71f9b8251:0x4f5eca725884a5fd!8m2!3d33.1528639!4d-85.36147299999999",,Alabama,Chinese restaurant,"Chinese restaurant, Buffet restaurant",0,4.1
32,China Wok,"https://www.google.com/maps/place/China+Wok/@33.4699544,-86.7710094,14z/data=!4m8!1m2!2m1!1sChina+Wok!3m4!1s0x88891990b075efe5:0x4519e32f213ac4cb!8m2!3d33.4699544!4d-86.7710094",,Alabama,Chinese restaurant,Chinese restaurant,2,4.0
33,Fuji Buffet,"https://www.google.com/maps/place/Fuji+Buffet/@30.8184802,-88.070551,14z/data=!4m8!1m2!2m1!1sFuji+Buffet!3m4!1s0x889a5757b2577717:0xd84c48348f76e2f5!8m2!3d30.8184802!4d-88.070551",,Alabama,Chinese restaurant,Chinese restaurant,2,3.7
34,Asian Express,"https://www.google.com/maps/place/Asian+Express/@33.499435999999996,-86.9075082,14z/data=!4m8!1m2!2m1!1sAsian+Express!3m4!1s0x8888e205e1809603:0x2001eae840b7312c!8m2!3d33.499435999999996!4d-86.9075082",,Alabama,Chinese restaurant,Chinese restaurant,2,4.4
35,King Buffet,"https://www.google.com/maps/place/King+Buffet/@33.5298868,-86.7155492,14z/data=!4m8!1m2!2m1!1sKing+Buffet!3m4!1s0x88891058bc4023c7:0x3a8e764690000cd7!8m2!3d33.5298868!4d-86.7155492",https://usmapz.me/king-buffet-900075-us,Alabama,Chinese restaurant,"Chinese restaurant, Buffet restaurant",2,4.2
36,China Chef Chinese Restaurant,"https://www.google.com/maps/place/China+Chef+Chinese+Restaurant/@30.6963947,-88.1034131,14z/data=!4m8!1m2!2m1!1sChina+Chef+Chinese+Restaurant!3m4!1s0x889a4df6414959e9:0xcbe331e7eb590463!8m2!3d30.6963947!4d-88.1034131",http://chinachefal.com/,Alabama,Chinese restaurant,"Chinese restaurant, Fast food restaurant",2,4.1
