ZIP_CODE,STATE,RUCA1,RUCA2
1949,MA,1,1
1950,MA,1,1
1951,MA,1,1
1952,MA,1,1
1960,MA,1,1
1961,MA,1,1
1965,MA,1,1
1966,MA,1,1
1969,MA,1,1
1970,MA,1,1
1971,MA,1,1
1982,MA,1,1
1983,MA,1,1
1984,MA,1,1
1985,MA,1,1
2018,MA,1,1
2019,MA,1,1
2020,MA,1,1
2021,MA,1,1
2025,MA,1,1
2026,MA,1,1
2027,MA,1,1
2030,MA,1,1
2032,MA,1,1
2035,MA,1,1
2038,MA,1,1
2040,MA,1,1
2041,MA,1,1
2043,MA,1,1
2044,MA,1,1
2045,MA,1,1
2047,MA,1,1
2048,MA,1,1
2050,MA,1,1
2051,MA,1,1
2052,MA,1,1
2053,MA,1,1
2054,MA,1,1
2055,MA,1,1
2056,MA,1,1
2059,MA,1,1
2060,MA,1,1
2061,MA,1,1
2062,MA,1,1
2065,MA,1,1
2066,MA,1,1
2067,MA,1,1
2070,MA,1,1
2071,MA,1,1
2072,MA,1,1
2081,MA,1,1
2090,MA,1,1
2093,MA,1,1
2108,MA,99,99
2109,MA,1,1
2110,MA,1,1
2111,MA,1,1
2112,MA,1,1
2113,MA,1,1
2114,MA,1,1
2115,MA,1,1
2116,MA,1,1
2117,MA,1,1
2118,MA,1,1
2119,MA,1,1
2120,MA,1,1
2121,MA,1,1
2122,MA,1,1
2123,MA,1,1
2124,MA,1,1
2125,MA,1,1
2126,MA,1,1
2127,MA,1,1
2128,MA,1,1
2129,MA,1,1
2130,MA,1,1
2131,MA,1,1
2132,MA,1,1
2133,MA,1,1
2134,MA,1,1
2135,MA,1,1
2136,MA,1,1
2137,MA,1,1
2138,MA,1,1
2139,MA,1,1
2140,MA,1,1
2141,MA,1,1
2142,MA,1,1
2143,MA,1,1
2144,MA,1,1
2145,MA,1,1
2148,MA,1,1
2149,MA,1,1
2150,MA,1,1
2151,MA,1,1
2152,MA,1,1
2153,MA,1,1
2155,MA,1,1
2156,MA,1,1
2163,MA,1,1
2169,MA,1,1
2170,MA,1,1
2171,MA,1,1
2176,MA,1,1
2180,MA,1,1
2184,MA,1,1
2185,MA,1,1
2186,MA,1,1
2187,MA,1,1
2188,MA,1,1
2189,MA,1,1
2190,MA,1,1
2191,MA,1,1
2196,MA,1,1
2199,MA,1,1
2201,MA,1,1
2203,MA,1,1
2204,MA,1,1
2205,MA,1,1
2206,MA,1,1
2210,MA,1,1
2211,MA,1,1
2212,MA,1,1
2215,MA,1,1
2217,MA,1,1
2222,MA,1,1
2238,MA,1,1
2241,MA,1,1
2266,MA,1,1
2269,MA,1,1
2283,MA,1,1
2284,MA,1,1
2293,MA,1,1
2297,MA,1,1
2298,MA,1,1
2301,MA,1,1
2302,MA,1,1
2303,MA,1,1
2304,MA,1,1
2305,MA,1,1
2322,MA,1,1
2324,MA,1,1
2325,MA,1,1
2327,MA,1,1
2330,MA,1,1
2331,MA,1,1
2332,MA,1,1
2333,MA,1,1
2334,MA,1,1
2337,MA,1,1
2338,MA,1,1
2339,MA,1,1
2341,MA,1,1
2343,MA,1,1
2344,MA,1,1
2345,MA,1,1
2346,MA,1,1
2347,MA,1,1
2348,MA,1,1
2349,MA,1,1
2350,MA,1,1
2351,MA,1,1
2355,MA,1,1
2356,MA,1,1
2357,MA,1,1
2358,MA,1,1
2359,MA,1,1
2360,MA,1,1
2361,MA,1,1
2362,MA,1,1
2364,MA,1,1
2366,MA,1,1
2367,MA,2,2
2368,MA,1,1
2370,MA,1,1
2375,MA,1,1
2379,MA,1,1
2381,MA,1,1
2382,MA,1,1
2420,MA,1,1
2421,MA,1,1
2445,MA,1,1
2446,MA,1,1
2447,MA,1,1
2451,MA,1,1
2452,MA,1,1
2453,MA,1,1
2454,MA,1,1
2455,MA,1,1
2456,MA,1,1
2457,MA,1,1
2458,MA,1,1
2459,MA,1,1
2460,MA,1,1
2461,MA,1,1
2462,MA,1,1
2464,MA,1,1
2465,MA,1,1
2466,MA,1,1
2467,MA,1,1
2468,MA,1,1
2471,MA,1,1
2472,MA,1,1
2474,MA,1,1
2475,MA,1,1
2476,MA,1,1
2477,MA,1,1
2478,MA,1,1
2479,MA,1,1
2481,MA,1,1
2482,MA,1,1
2492,MA,1,1
2493,MA,1,1
2494,MA,1,1
2495,MA,1,1
2532,MA,1,1
2534,MA,1,1
2535,MA,10,10
2536,MA,1,1
2537,MA,1,1
2538,MA,1,1
2539,MA,4,4
2540,MA,1,1
2541,MA,1,1
2542,MA,1,1
2543,MA,1,1
2552,MA,10,10
2553,MA,1,1
2554,MA,7,7
2556,MA,1,1
2557,MA,4,4
2558,MA,1,1
2559,MA,1,1
2561,MA,1,1
2562,MA,1,1
2563,MA,1,1
2564,MA,8,8
2568,MA,4,4
2571,MA,1,1
2574,MA,1,1
2575,MA,10,10
2576,MA,1,1
2584,MA,7,7
2601,MA,1,1
2630,MA,1,1
2631,MA,1,1
2632,MA,1,1
2633,MA,1,1
2634,MA,1,1
2635,MA,1,1
2637,MA,1,1
2638,MA,1,1
2639,MA,1,1
2641,MA,1,1
2642,MA,1,1
2643,MA,1,1
2644,MA,1,1
2645,MA,1,1
2646,MA,1,1
2647,MA,1,1
2648,MA,1,1
2649,MA,1,1
2650,MA,1,1
2651,MA,1,1
2652,MA,10,10.3
2653,MA,1,1
2655,MA,1,1
2657,MA,7,7
2659,MA,1,1
2660,MA,1,1
2661,MA,1,1
2662,MA,1,1
2663,MA,10,10
2664,MA,1,1
2666,MA,10,10.3
2667,MA,10,10
2668,MA,1,1
2669,MA,1,1
2670,MA,1,1
2671,MA,1,1
2672,MA,1,1
2673,MA,1,1
2675,MA,1,1
2702,MA,1,1
2703,MA,1,1
2712,MA,1,1
2713,MA,10,10
2714,MA,1,1
2715,MA,1,1
2717,MA,1,1
2718,MA,1,1
2719,MA,1,1
2720,MA,1,1
2721,MA,1,1
2722,MA,1,1
2723,MA,1,1
2724,MA,1,1
2725,MA,1,1
2726,MA,1,1
2738,MA,1,1
2739,MA,1,1
2740,MA,1,1
2741,MA,1,1
2742,MA,1,1
2743,MA,1,1
2744,MA,1,1
2745,MA,1,1
2746,MA,1,1
2747,MA,1,1
2748,MA,1,1
2760,MA,1,1
2761,MA,1,1
2762,MA,1,1
2763,MA,1,1
2764,MA,1,1
2766,MA,1,1
2767,MA,1,1
2768,MA,1,1
2769,MA,2,2
2770,MA,3,3
2771,MA,1,1
2777,MA,1,1
2779,MA,1,1
2780,MA,1,1
2790,MA,1,1
2791,MA,3,3
2801,RI,2,2
2802,RI,1,1
2804,RI,2,2
2806,RI,1,1
2807,RI,10,10
2808,RI,1,1
2809,RI,1,1
2812,RI,2,2
2813,RI,2,2
2814,RI,2,2
2815,RI,2,2
2816,RI,1,1
2817,RI,2,2
2818,RI,1,1
2822,RI,2,2
2823,RI,1,1
2824,RI,1,1
2825,RI,2,2
2826,RI,1,1
2827,RI,2,2
2828,RI,1,1
2829,RI,1,1
2830,RI,1,1
2831,RI,1,1
2832,RI,2,2
2833,RI,2,2
2835,RI,1,1
2836,RI,2,2
2837,RI,2,2
2838,RI,1,1
2839,RI,1,1
2840,RI,1,1
2841,RI,1,1
2842,RI,1,1
2852,RI,1,1
2857,RI,2,2
2858,RI,1,1
2859,RI,1,1
2860,RI,1,1
2861,RI,1,1
2862,RI,1,1
2863,RI,1,1
2864,RI,1,1
2865,RI,1,1
2871,RI,1,1
2872,RI,1,1
2873,RI,2,2
2874,RI,1,1
2875,RI,2,2
2876,RI,1,1
2877,RI,2,2
2878,RI,1,1
2879,RI,1,1
2880,RI,1,1
2881,RI,1,1
2882,RI,1,1
2883,RI,1,1
2885,RI,1,1
2886,RI,1,1
2887,RI,1,1
2888,RI,1,1
2889,RI,1,1
2891,RI,1,1
2892,RI,2,2
2893,RI,1,1
2894,RI,2,2
2895,RI,1,1
2896,RI,1,1
2898,RI,2,2
2901,RI,1,1
2902,RI,1,1
2903,RI,1,1
2904,RI,1,1
2905,RI,1,1
2906,RI,1,1
2907,RI,1,1
2908,RI,1,1
2909,RI,1,1
2910,RI,1,1
2911,RI,1,1
2912,RI,1,1
2914,RI,1,1
